L3 L2 L1 orbit tau x
0 2 4 1 18 0.209477
0 2 4 1 19 0.336694
0 2 4 1 20 0.076095
0 2 5 1 1 0.766595
0 2 5 1 2 0.776430
0 2 5 1 3 0.662779
0 2 5 1 4 0.767047
0 2 5 1 5 0.543896
0 2 5 1 6 0.483201
0 2 5 1 7 0.469277
0 2 5 1 8 0.414408
0 2 5 1 9 0.328881
0 2 5 1 10 0.265874
0 2 5 1 11 0.341450
0 2 5 1 12 0.609514
0 2 5 1 13 0.651544
0 2 5 1 14 0.080233
0 2 5 1 15 -0.004528
0 2 5 1 16 0.366380
0 2 5 1 17 0.292924
0 2 5 1 18 0.405722
0 2 5 1 19 0.471246
0 2 5 1 20 0.858897
0 2 6 1 1 0.381594
0 2 6 1 2 -0.204157
0 2 6 1 3 -0.072362
0 2 6 1 4 0.636335
0 2 6 1 5 0.931476
0 2 6 1 6 1.168344
0 2 6 1 7 1.218458
0 2 6 1 8 1.065628
0 2 6 1 9 0.458538
0 2 6 1 10 0.474006
0 2 6 1 11 0.509648
0 2 6 1 12 0.968109
0 2 6 1 13 0.901426
0 2 6 1 14 0.317697
0 2 6 1 15 0.182128
0 2 6 1 16 -0.029332
0 2 6 1 17 0.184389
0 2 6 1 18 0.435305
0 2 6 1 19 0.425865
0 2 6 1 20 0.297394
0 2 7 1 1 -1.069639
0 2 7 1 2 -1.044907
0 2 7 1 3 -0.906221
0 2 7 1 4 -1.049058
0 2 7 1 5 -1.117362
0 2 7 1 6 -1.301510
0 2 7 1 7 -1.321302
0 2 7 1 8 -1.022626
0 2 7 1 9 -1.171150
0 2 7 1 10 -1.098224
0 2 7 1 11 -0.926004
0 2 7 1 12 -0.786184
0 2 7 1 13 -1.319034
0 2 7 1 14 -1.232028
0 2 7 1 15 -1.269224
0 2 7 1 16 -1.271407
0 2 7 1 17 -1.350743
0 2 7 1 18 -1.165277
0 2 7 1 19 -0.962299
0 2 7 1 20 -1.139441
0 2 8 1 1 1.698959
0 2 8 1 2 1.593191
0 2 8 1 3 1.712804
0 2 8 1 4 1.632062
0 2 8 1 5 1.738428
0 2 8 1 6 1.534794
0 2 8 1 7 1.064639
0 2 8 1 8 1.392345
0 2 8 1 9 1.463444
0 2 8 1 10 1.952391
0 2 8 1 11 1.965987
0 2 8 1 12 1.841438
0 2 8 1 13 1.611136
0 2 8 1 14 1.847576
0 2 8 1 15 1.881958
0 2 8 1 16 2.022202
0 2 8 1 17 1.880656
0 2 8 1 18 1.454135
0 2 8 1 19 1.466362
0 2 8 1 20 1.527487
0 2 9 1 1 0.750170
0 2 9 1 2 0.249533
0 2 9 1 3 0.014456
0 2 9 1 4 0.097146
0 2 9 1 5 0.145852
0 2 9 1 6 0.440105
0 2 9 1 7 0.374969
0 2 9 1 8 0.408552
0 2 9 1 9 0.152887
0 2 9 1 10 0.455186
0 2 9 1 11 0.413314
0 2 9 1 12 0.650152
0 2 9 1 13 0.726403
0 2 9 1 14 0.869889
0 2 9 1 15 1.037515
0 2 9 1 16 1.108835
0 2 9 1 17 1.010937
0 2 9 1 18 0.739492
0 2 9 1 19 0.552248
0 2 9 1 20 0.600848
0 2 10 1 1 0.506234
0 2 10 1 2 0.564023
0 2 10 1 3 0.500727
0 2 10 1 4 0.267006
0 2 10 1 5 0.314810
0 2 10 1 6 0.065471
0 2 10 1 7 0.183025
0 2 10 1 8 0.590790
0 2 10 1 9 0.389890
0 2 10 1 10 0.451653
0 2 10 1 11 0.334086
0 2 10 1 12 0.000715
0 2 10 1 13 0.100962
0 2 10 1 14 -0.013873
0 2 10 1 15 -0.071496
0 2 10 1 16 -0.014803
0 2 10 1 17 -0.048758
0 2 10 1 18 -0.102562
0 2 10 1 19 0.044060
0 2 10 1 20 0.492160
0 2 11 1 1 -0.333095
0 2 11 1 2 -0.269527
0 2 11 1 3 0.253065
0 2 11 1 4 0.278063
0 2 11 1 5 0.374162
0 2 11 1 6 0.185691
0 2 11 1 7 0.208734
0 2 11 1 8 0.021275
0 2 11 1 9 0.270807
0 2 11 1 10 0.218561
0 2 11 1 11 0.240106
0 2 11 1 12 0.520716
0 2 11 1 13 0.219857
0 2 11 1 14 0.205751
0 2 11 1 15 0.470220
0 2 11 1 16 0.145959
0 2 11 1 17 -0.157733
0 2 11 1 18 -0.543613
0 2 11 1 19 -0.504941
0 2 11 1 20 -0.423349
0 3 0 1 1 -0.328323
0 3 0 1 2 -0.276528
0 3 0 1 3 -0.196163
0 3 0 1 4 -0.718054
0 3 0 1 5 -1.029214
0 3 0 1 6 -0.671563
0 3 0 1 7 -0.514679
0 3 0 1 8 -0.404723
0 3 0 1 9 -0.314868
0 3 0 1 10 -0.245423
0 3 0 1 11 -0.420771
0 3 0 1 12 -0.341069
0 3 0 1 13 -0.449005
0 3 0 1 14 -0.727366
0 3 0 1 15 -0.631410
0 3 0 1 16 -0.700934
0 3 0 1 17 -0.629841
0 3 0 1 18 -0.647326
0 3 0 1 19 -0.387106
0 3 0 1 20 -0.180003
0 3 1 1 1 0.524263
0 3 1 1 2 0.871077
0 3 1 1 3 0.972504
0 3 1 1 4 0.850264
0 3 1 1 5 1.110763
0 3 1 1 6 0.786431
0 3 1 1 7 0.945593
0 3 1 1 8 1.080744
0 3 1 1 9 0.724342
0 3 1 1 10 0.722980
0 3 1 1 11 0.879110
0 3 1 1 12 1.022642
0 3 1 1 13 0.520220
0 3 1 1 14 0.429257
0 3 1 1 15 0.567089
0 3 1 1 16 0.212782
0 3 1 1 17 0.376576
0 3 1 1 18 0.691224
0 3 1 1 19 0.706898
0 3 1 1 20 0.680270
0 3 2 1 1 1.223787
0 3 2 1 2 1.425351
0 3 2 1 3 1.346242
0 3 2 1 4 1.735173
0 3 2 1 5 1.844896
0 3 2 1 6 1.850527
0 3 2 1 7 1.614586
0 3 2 1 8 1.536704
0 3 2 1 9 1.826773
0 3 2 1 10 1.795602
0 3 2 1 11 2.060907
0 3 2 1 12 1.857726
0 3 2 1 13 1.780955
0 3 2 1 14 1.579564
0 3 2 1 15 1.463477
0 3 2 1 16 1.541505
0 3 2 1 17 1.360604
0 3 2 1 18 1.489285
0 3 2 1 19 1.137682
0 3 2 1 20 1.330866
0 3 3 1 1 2.027100
0 3 3 1 2 2.099701
0 3 3 1 3 1.603624
0 3 3 1 4 1.526303
0 3 3 1 5 1.234582
0 3 3 1 6 0.918262
0 3 3 1 7 0.617538
0 3 3 1 8 0.652807
0 3 3 1 9 0.866040
0 3 3 1 10 0.799514
0 3 3 1 11 1.092768
0 3 3 1 12 0.955096
0 3 3 1 13 0.872832
0 3 3 1 14 1.394163
0 3 3 1 15 1.545980
0 3 3 1 16 1.611189
0 3 3 1 17 1.577753
0 3 3 1 18 1.679010
0 3 3 1 19 1.939079
0 3 3 1 20 1.948736
0 3 4 1 1 -2.562562
0 3 4 1 2 -2.602045
0 3 4 1 3 -2.290791
0 3 4 1 4 -2.836696
0 3 4 1 5 -2.763911
0 3 4 1 6 -2.819746
0 3 4 1 7 -2.733278
0 3 4 1 8 -2.611689
0 3 4 1 9 -2.707069
0 3 4 1 10 -3.074043
0 3 4 1 11 -2.962388
0 3 4 1 12 -3.074499
0 3 4 1 13 -3.095352
0 3 4 1 14 -2.945717
0 3 4 1 15 -2.700204
0 3 4 1 16 -2.601040
0 3 4 1 17 -2.652780
0 3 4 1 18 -2.343946
0 3 4 1 19 -2.238916
0 3 4 1 20 -2.458439
0 3 5 1 1 1.558587
0 3 5 1 2 1.554915
0 3 5 1 3 1.252523
0 3 5 1 4 1.370242
0 3 5 1 5 1.190646
0 3 5 1 6 0.793224
0 3 5 1 7 1.159204
0 3 5 1 8 0.965337
0 3 5 1 9 1.211536
0 3 5 1 10 0.995920
0 3 5 1 11 1.017570
0 3 5 1 12 1.112353
0 3 5 1 13 1.335387
0 3 5 1 14 1.274853
0 3 5 1 15 1.663974
0 3 5 1 16 1.544308
0 3 5 1 17 1.683382
0 3 5 1 18 1.150764
0 3 5 1 19 1.070262
0 3 5 1 20 1.243130
0 3 6 1 1 -2.181916
0 3 6 1 2 -1.969953
0 3 6 1 3 -2.173387
0 3 6 1 4 -2.150926
0 3 6 1 5 -2.064853
0 3 6 1 6 -2.300796
0 3 6 1 7 -1.965750
0 3 6 1 8 -1.981715
0 3 6 1 9 -1.668224
0 3 6 1 10 -1.799581
0 3 6 1 11 -1.595688
0 3 6 1 12 -1.515371
0 3 6 1 13 -2.038385
0 3 6 1 14 -1.644782
0 3 6 1 15 -1.802533
0 3 6 1 16 -1.750004
0 3 6 1 17 -1.807137
0 3 6 1 18 -2.031236
0 3 6 1 19 -1.963480
0 3 6 1 20 -1.991822
0 3 7 1 1 -0.531268
0 3 7 1 2 -0.561854
0 3 7 1 3 -0.272970
0 3 7 1 4 -0.203086
0 3 7 1 5 -0.140684
0 3 7 1 6 0.110212
0 3 7 1 7 -0.191036
0 3 7 1 8 -0.530927
0 3 7 1 9 -0.749748
0 3 7 1 10 -0.828886
0 3 7 1 11 -0.646798
0 3 7 1 12 -0.723681
0 3 7 1 13 -0.547432
0 3 7 1 14 -0.559070
0 3 7 1 15 -0.749829
0 3 7 1 16 -0.854739
0 3 7 1 17 -0.713225
0 3 7 1 18 -0.687588
0 3 7 1 19 -0.772706
0 3 7 1 20 -0.731191
0 3 8 1 1 1.139005
0 3 8 1 2 0.839494
0 3 8 1 3 0.976438
0 3 8 1 4 1.115672
0 3 8 1 5 1.382239
0 3 8 1 6 1.229126
0 3 8 1 7 1.181369
0 3 8 1 8 1.000565
0 3 8 1 9 0.999565
0 3 8 1 10 0.721287
0 3 8 1 11 0.707696
0 3 8 1 12 0.544077
0 3 8 1 13 0.603539
0 3 8 1 14 0.600768
0 3 8 1 15 0.666415
0 3 8 1 16 0.722116
0 3 8 1 17 1.109364
0 3 8 1 18 0.936710
0 3 8 1 19 0.817148
