orbit1 orbit2 k3 k2 k1 tau DenDen error
1 1 0 1 2 11 0.41507519 0.00316681
1 1 0 1 2 12 0.41573890 0.00609238
1 1 0 1 2 13 0.42260846 0.00687769
1 1 0 1 2 14 0.42322501 0.00677587
1 1 0 1 2 15 0.43013752 0.00686813
1 1 0 1 2 16 0.44188391 0.00302570
1 1 0 1 2 17 0.45356560 0.00496995
1 1 0 1 2 18 0.44933963 0.00493269
1 1 0 1 2 19 0.46977217 0.00430740
1 1 0 1 2 20 0.47968680 0.00458092
1 1 0 1 3 0 0.53195937 0.00818156
1 1 0 1 3 1 0.50735485 0.00458870
1 1 0 1 3 2 0.48964037 0.00391645
1 1 0 1 3 3 0.46955131 0.00488619
1 1 0 1 3 4 0.45566624 0.00563183
1 1 0 1 3 5 0.44233552 0.00564366
1 1 0 1 3 6 0.43326108 0.00341061
1 1 0 1 3 7 0.42467004 0.00555799
1 1 0 1 3 8 0.42626210 0.00531012
1 1 0 1 3 9 0.41076365 0.00470092
1 1 0 1 3 10 0.42594043 0.00471005
1 1 0 1 3 11 0.41697619 0.00412358
1 1 0 1 3 12 0.42054927 0.00329702
1 1 0 1 3 13 0.42267135 0.00588018
1 1 0 1 3 14 0.42923934 0.00671865
1 1 0 1 3 15 0.44245329 0.00324304
1 1 0 1 3 16 0.45218450 0.00484348
1 1 0 1 3 17 0.46685175 0.00439770
1 1 0 1 3 18 0.48431282 0.00481477
1 1 0 1 3 19 0.49818316 0.00432657
1 1 0 1 3 20 0.53195937 0.00818156
1 1 0 1 4 0 0.58291714 0.00602371
1 1 0 1 4 1 0.55797743 0.00557702
1 1 0 1 4 2 0.52429687 0.00471820
1 1 0 1 4 3 0.49784400 0.00638931
1 1 0 1 4 4 0.47709977 0.00474242
1 1 0 1 4 5 0.46226748 0.00379620
1 1 0 1 4 6 0.44781487 0.00515236
1 1 0 1 4 7 0.44820565 0.00590323
1 1 0 1 4 8 0.43336484 0.00385755
1 1 0 1 4 9 0.43171547 0.00640048
1 1 0 1 4 10 0.42589446 0.00565752
1 1 0 1 4 11 0.43556058 0.00511845
1 1 0 1 4 12 0.43879097 0.00683455
1 1 0 1 4 13 0.44056590 0.00747280
1 1 0 1 4 14 0.45358084 0.00459503
1 1 0 1 4 15 0.46503992 0.00448603
1 1 0 1 4 16 0.47721378 0.00574172
1 1 0 1 4 17 0.49781923 0.00558593
1 1 0 1 4 18 0.52537597 0.00646631
1 1 0 1 4 19 0.55121049 0.00508587
1 1 0 1 4 20 0.58291714 0.00602371
1 1 0 1 5 0 0.62279768 0.00301196
1 1 0 1 5 1 0.57270959 0.00515851
1 1 0 1 5 2 0.53584471 0.00626085
1 1 0 1 5 3 0.51331369 0.00716447
1 1 0 1 5 4 0.48298737 0.00420371
1 1 0 1 5 5 0.47335241 0.00507058
1 1 0 1 5 6 0.46311311 0.00369572
1 1 0 1 5 7 0.44692874 0.00591739
1 1 0 1 5 8 0.44131255 0.00529403
1 1 0 1 5 9 0.43469600 0.00491586
1 1 0 1 5 10 0.43325926 0.00461161
1 1 0 1 5 11 0.43157605 0.00501729
1 1 0 1 5 12 0.43190013 0.00530799
1 1 0 1 5 13 0.44237297 0.00370875
1 1 0 1 5 14 0.44906972 0.00542479
1 1 0 1 5 15 0.47411627 0.00496389
1 1 0 1 5 16 0.48828472 0.00421796
1 1 0 1 5 17 0.50286850 0.00486459
1 1 0 1 5 18 0.53650114 0.00424263
1 1 0 1 5 19 0.56798053 0.00450069
1 1 0 1 5 20 0.62279768 0.00301196
1 1 0 1 6 0 0.64544292 0.00351957
1 1 0 1 6 1 0.59354207 0.00613538
1 1 0 1 6 2 0.54646639 0.00828895
1 1 0 1 6 3 0.51758110 0.00776417
1 1 0 1 6 4 0.49783894 0.00583624
1 1 0 1 6 5 0.48043295 0.00696853
1 1 0 1 6 6 0.46140574 0.00619142
1 1 0 1 6 7 0.44823553 0.00789565
1 1 0 1 6 8 0.44214772 0.00637481
1 1 0 1 6 9 0.43974948 0.00488099
1 1 0 1 6 10 0.44234669 0.00645688
1 1 0 1 6 11 0.44076636 0.00681619
1 1 0 1 6 12 0.44169239 0.00414017
1 1 0 1 6 13 0.45159482 0.00597802
1 1 0 1 6 14 0.46401856 0.00439032
1 1 0 1 6 15 0.47705407 0.00557827
1 1 0 1 6 16 0.49557342 0.00600679
1 1 0 1 6 17 0.51865579 0.00699888
1 1 0 1 6 18 0.55075504 0.00620504
1 1 0 1 6 19 0.59666429 0.00794722
1 1 0 1 6 20 0.64544292 0.00351957
1 1 0 1 7 0 0.61832114 0.00628290
1 1 0 1 7 1 0.57562591 0.00833903
1 1 0 1 7 2 0.53297643 0.00427550
1 1 0 1 7 3 0.50923964 0.00554693
1 1 0 1 7 4 0.47952616 0.00736429
1 1 0 1 7 5 0.46407294 0.00592856
1 1 0 1 7 6 0.45750465 0.00702507
1 1 0 1 7 7 0.44832674 0.00563132
1 1 0 1 7 8 0.43104156 0.00644253
1 1 0 1 7 9 0.42960164 0.00499416
1 1 0 1 7 10 0.42565184 0.00459780
1 1 0 1 7 11 0.42786885 0.00752110
1 1 0 1 7 12 0.43564950 0.00535677
1 1 0 1 7 13 0.44876797 0.00800746
1 1 0 1 7 14 0.45231158 0.00545259
1 1 0 1 7 15 0.46525863 0.00674252
1 1 0 1 7 16 0.48419058 0.00491653
1 1 0 1 7 17 0.50718629 0.00669457
1 1 0 1 7 18 0.53837757 0.00603839
1 1 0 1 7 19 0.57543933 0.00693982
1 1 0 1 7 20 0.61832114 0.00628290
1 1 0 1 8 0 0.59033416 0.00837663
1 1 0 1 8 1 0.55715061 0.00484652
1 1 0 1 8 2 0.52702105 0.00516843
1 1 0 1 8 3 0.49334892 0.00435727
1 1 0 1 8 4 0.47755227 0.00546637
1 1 0 1 8 5 0.46398905 0.00513916
1 1 0 1 8 6 0.45851892 0.00505870
1 1 0 1 8 7 0.44646090 0.00379351
1 1 0 1 8 8 0.44374526 0.00739101
1 1 0 1 8 9 0.44101715 0.00630991
1 1 0 1 8 10 0.43121852 0.00858500
1 1 0 1 8 11 0.43668447 0.00476052
1 1 0 1 8 12 0.44259963 0.00570334
1 1 0 1 8 13 0.44803632 0.00672262
1 1 0 1 8 14 0.45585069 0.00651423
1 1 0 1 8 15 0.45782615 0.00456073
1 1 0 1 8 16 0.47368819 0.00441679
1 1 0 1 8 17 0.50037522 0.00471780
1 1 0 1 8 18 0.52993283 0.00460000
