orbit1 orbit2 r3 r2 r1 tau DenDen error
1 1 0 1 1 18 1.00334362 0.00273186
1 1 0 1 1 19 1.00273898 0.00272287
1 1 0 1 1 20 1.00331224 0.00268040
1 1 0 1 2 0 1.00023794 0.00242095
1 1 0 1 2 1 0.99917463 0.00269149
1 1 0 1 2 2 0.99863555 0.00260449
1 1 0 1 2 3 0.99931049 0.00255047
1 1 0 1 2 4 0.99894744 0.00240653
1 1 0 1 2 5 0.99850448 0.00235954
1 1 0 1 2 6 0.99929910 0.00256435
1 1 0 1 2 7 0.99903656 0.00235866
1 1 0 1 2 8 0.99904884 0.00241846
1 1 0 1 2 9 0.99922449 0.00217778
1 1 0 1 2 10 0.99904156 0.00294921
1 1 0 1 2 11 0.99945540 0.00252607
1 1 0 1 2 12 0.99875329 0.00245992
1 1 0 1 2 13 0.99891041 0.00224922
1 1 0 1 2 14 0.99969330 0.00239164
1 1 0 1 2 15 0.99852934 0.00264855
1 1 0 1 2 16 0.99888490 0.00248648
1 1 0 1 2 17 0.99871147 0.00267082
1 1 0 1 2 18 0.99871287 0.00251313
1 1 0 1 2 19 0.99884410 0.00247397
1 1 0 1 2 20 1.00023794 0.00242095
1 1 0 1 3 0 0.99962324 0.00226148
1 1 0 1 3 1 0.99961688 0.00235550
1 1 0 1 3 2 1.00003254 0.00240673
1 1 0 1 3 3 1.00000813 0.00246007
1 1 0 1 3 4 0.99891678 0.00211498
1 1 0 1 3 5 0.99995202 0.00233610
1 1 0 1 3 6 0.99981428 0.00254016
1 1 0 1 3 7 1.00037686 0.00252384
1 1 0 1 3 8 0.99989910 0.00242559
1 1 0 1 3 9 0.99980691 0.00242674
1 1 0 1 3 10 0.99914943 0.00235409
1 1 0 1 3 11 1.00025064 0.00259810
1 1 0 1 3 12 1.00048730 0.00232472
1 1 0 1 3 13 1.00018050 0.00247694
1 1 0 1 3 14 1.00060735 0.00203518
1 1 0 1 3 15 0.99977203 0.00253883
1 1 0 1 3 16 1.00058392 0.00269891
1 1 0 1 3 17 1.00062949 0.00234260
1 1 0 1 3 18 0.99915597 0.00234908
1 1 0 1 3 19 1.00011199 0.00213727
1 1 0 1 3 20 0.99962324 0.00226148
1 1 0 1 4 0 1.00075656 0.00250960
1 1 0 1 4 1 0.99995328 0.00225030
1 1 0 1 4 2 0.99954466 0.00237160
1 1 0 1 4 3 1.00042969 0.00242682
1 1 0 1 4 4 1.00085812 0.00246391
1 1 0 1 4 5 1.00019209 0.00256508
1 1 0 1 4 6 0.99990046 0.00204879
1 1 0 1 4 7 1.00024794 0.00235347
1 1 0 1 4 8 0.99962438 0.00241307
1 1 0 1 4 9 1.00109744 0.00231020
1 1 0 1 4 10 1.00023838 0.00270484
1 1 0 1 4 11 0.99996827 0.00241839
1 1 0 1 4 12 1.00115900 0.00264629
1 1 0 1 4 13 1.00013391 0.00231166
1 1 0 1 4 14 0.99992607 0.00258940
1 1 0 1 4 15 1.00041539 0.00247727
1 1 0 1 4 16 1.00110846 0.00240515
1 1 0 1 4 17 1.00013199 0.00231511
1 1 0 1 4 18 1.00046537 0.00278270
1 1 0 1 4 19 1.00004740 0.00236623
1 1 0 1 4 20 1.00075656 0.00250960
1 1 0 1 5 0 0.99890914 0.00287536
1 1 0 1 5 1 0.99951751 0.00262732
1 1 0 1 5 2 0.99919401 0.00301632
1 1 0 1 5 3 0.99877566 0.00253007
1 1 0 1 5 4 0.99986803 0.00269442
1 1 0 1 5 5 0.99853206 0.00265926
1 1 0 1 5 6 0.99870598 0.00254861
1 1 0 1 5 7 0.99931899 0.00228440
1 1 0 1 5 8 0.99827947 0.00268940
1 1 0 1 5 9 0.99977018 0.00269172
